Instance,N,M,Total,Algorithm,EF1,EFX,EF,PROP1
spliddit\4_6_104271.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_104271.instance,4,6,3,remove all the agents,3,3,2,3
spliddit\4_6_104271.instance,4,6,3,remove the best agent,3,3,2,3
spliddit\4_6_18812.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_18812.instance,4,6,3,remove all the agents,3,2,2,3
spliddit\4_6_18812.instance,4,6,3,remove the best agent,3,3,2,3
spliddit\4_6_22824.instance,4,6,3,existence,3,3,0,3
spliddit\4_6_22824.instance,4,6,3,remove all the agents,0,0,0,3
spliddit\4_6_22824.instance,4,6,3,remove the best agent,3,1,0,3
spliddit\4_6_24402.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_24402.instance,4,6,3,remove all the agents,2,0,0,3
spliddit\4_6_24402.instance,4,6,3,remove the best agent,3,1,0,3
spliddit\4_6_28855.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_28855.instance,4,6,3,remove all the agents,2,2,1,3
spliddit\4_6_28855.instance,4,6,3,remove the best agent,2,2,2,3
spliddit\4_6_42853.instance,4,6,3,existence,3,3,3,3
spliddit\4_6_42853.instance,4,6,3,remove all the agents,3,3,3,3
spliddit\4_6_42853.instance,4,6,3,remove the best agent,3,3,2,3
spliddit\4_6_47232.instance,4,6,3,existence,3,2,1,3
spliddit\4_6_47232.instance,4,6,3,remove all the agents,3,0,0,3
spliddit\4_6_47232.instance,4,6,3,remove the best agent,3,1,0,3
spliddit\4_6_5008.instance,4,6,3,existence,3,3,1,3
spliddit\4_6_5008.instance,4,6,3,remove all the agents,2,1,0,3
spliddit\4_6_5008.instance,4,6,3,remove the best agent,3,2,0,3
spliddit\4_6_5009.instance,4,6,3,existence,3,3,1,3
spliddit\4_6_5009.instance,4,6,3,remove all the agents,2,1,0,3
spliddit\4_6_5009.instance,4,6,3,remove the best agent,3,2,0,3
spliddit\4_6_54077.instance,4,6,3,existence,3,3,3,3
spliddit\4_6_54077.instance,4,6,3,remove all the agents,3,3,3,3
spliddit\4_6_54077.instance,4,6,3,remove the best agent,3,3,3,3
spliddit\4_6_55539.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_55539.instance,4,6,3,remove all the agents,2,1,0,3
spliddit\4_6_55539.instance,4,6,3,remove the best agent,3,3,0,3
spliddit\4_6_81188.instance,4,6,3,existence,3,3,3,3
spliddit\4_6_81188.instance,4,6,3,remove all the agents,3,3,2,3
spliddit\4_6_81188.instance,4,6,3,remove the best agent,3,3,2,3
spliddit\4_6_85986.instance,4,6,3,existence,3,3,1,3
spliddit\4_6_85986.instance,4,6,3,remove all the agents,3,3,1,3
spliddit\4_6_85986.instance,4,6,3,remove the best agent,3,3,1,3
spliddit\4_6_88103.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_88103.instance,4,6,3,remove all the agents,3,3,2,3
spliddit\4_6_88103.instance,4,6,3,remove the best agent,2,2,2,3
spliddit\4_6_89320.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_89320.instance,4,6,3,remove all the agents,2,1,1,3
spliddit\4_6_89320.instance,4,6,3,remove the best agent,3,2,1,3
spliddit\4_6_89321.instance,4,6,3,existence,3,3,2,3
spliddit\4_6_89321.instance,4,6,3,remove all the agents,2,1,1,3
spliddit\4_6_89321.instance,4,6,3,remove the best agent,3,2,1,3
spliddit\4_6_9089.instance,4,6,3,existence,3,3,1,3
spliddit\4_6_9089.instance,4,6,3,remove all the agents,3,0,0,3
spliddit\4_6_9089.instance,4,6,3,remove the best agent,3,0,0,3
spliddit\4_7_103049.instance,4,7,3,existence,3,3,1,3
spliddit\4_7_103049.instance,4,7,3,remove all the agents,2,2,1,3
spliddit\4_7_103049.instance,4,7,3,remove the best agent,3,2,1,3
spliddit\4_7_103052.instance,4,7,3,existence,3,3,1,3
spliddit\4_7_103052.instance,4,7,3,remove all the agents,2,2,1,3
spliddit\4_7_103052.instance,4,7,3,remove the best agent,3,2,1,3
spliddit\4_7_103070.instance,4,7,3,existence,3,3,1,3
spliddit\4_7_103070.instance,4,7,3,remove all the agents,2,2,1,3
spliddit\4_7_103070.instance,4,7,3,remove the best agent,3,2,1,3
spliddit\4_7_14002.instance,4,7,3,existence,3,3,3,3
spliddit\4_7_14002.instance,4,7,3,remove all the agents,3,2,1,3
spliddit\4_7_14002.instance,4,7,3,remove the best agent,3,3,1,3
spliddit\4_7_19009.instance,4,7,3,existence,3,1,1,3
spliddit\4_7_19009.instance,4,7,3,remove all the agents,2,1,1,3
spliddit\4_7_19009.instance,4,7,3,remove the best agent,2,1,1,3
spliddit\4_7_29247.instance,4,7,3,existence,3,3,2,3
spliddit\4_7_29247.instance,4,7,3,remove all the agents,3,3,2,3
spliddit\4_7_29247.instance,4,7,3,remove the best agent,3,3,2,3
spliddit\4_7_84769.instance,4,7,3,existence,3,3,2,3
spliddit\4_7_84769.instance,4,7,3,remove all the agents,3,2,2,3
spliddit\4_7_84769.instance,4,7,3,remove the best agent,3,3,2,3
spliddit\4_7_8597.instance,4,7,3,existence,3,3,1,3
spliddit\4_7_8597.instance,4,7,3,remove all the agents,3,2,1,3
spliddit\4_7_8597.instance,4,7,3,remove the best agent,3,2,1,3
spliddit\4_7_8598.instance,4,7,3,existence,3,3,1,3
spliddit\4_7_8598.instance,4,7,3,remove all the agents,3,2,1,3
spliddit\4_7_8598.instance,4,7,3,remove the best agent,3,2,1,3
spliddit\4_7_98500.instance,4,7,3,existence,3,3,3,3
spliddit\4_7_98500.instance,4,7,3,remove all the agents,3,1,1,3
spliddit\4_7_98500.instance,4,7,3,remove the best agent,3,1,1,3
spliddit\4_8_1878.instance,4,8,3,existence,3,3,3,3
spliddit\4_8_1878.instance,4,8,3,remove all the agents,3,3,2,3
spliddit\4_8_1878.instance,4,8,3,remove the best agent,3,3,2,3
spliddit\4_8_56986.instance,4,8,3,existence,3,3,2,3
spliddit\4_8_56986.instance,4,8,3,remove all the agents,2,2,0,3
spliddit\4_8_56986.instance,4,8,3,remove the best agent,3,2,0,3
spliddit\4_8_6387.instance,4,8,3,existence,3,3,1,3
spliddit\4_8_6387.instance,4,8,3,remove all the agents,3,1,1,3
spliddit\4_8_6387.instance,4,8,3,remove the best agent,3,1,1,3
spliddit\4_8_73412.instance,4,8,3,existence,3,3,3,3
spliddit\4_8_73412.instance,4,8,3,remove all the agents,3,3,3,3
spliddit\4_8_73412.instance,4,8,3,remove the best agent,3,3,3,3
spliddit\4_8_81829.instance,4,8,3,existence,3,3,3,3
spliddit\4_8_81829.instance,4,8,3,remove all the agents,3,3,3,3
spliddit\4_8_81829.instance,4,8,3,remove the best agent,3,3,3,3
spliddit\4_9_15831.instance,4,9,3,existence,3,3,3,3
spliddit\4_9_15831.instance,4,9,3,remove all the agents,3,3,3,3
spliddit\4_9_15831.instance,4,9,3,remove the best agent,3,3,3,3
spliddit\4_9_17038.instance,4,9,3,existence,3,3,3,3
spliddit\4_9_17038.instance,4,9,3,remove all the agents,3,3,3,3
spliddit\4_9_17038.instance,4,9,3,remove the best agent,3,3,3,3
spliddit\5_10_85732.instance,5,10,15,existence,15,15,10,15
spliddit\5_10_85732.instance,5,10,15,remove all the agents,11,2,1,15
spliddit\5_10_85732.instance,5,10,15,remove the best agent,14,2,1,15
spliddit\5_10_85850.instance,5,10,15,existence,15,15,15,15
spliddit\5_10_85850.instance,5,10,15,remove all the agents,9,5,1,15
spliddit\5_10_85850.instance,5,10,15,remove the best agent,13,8,1,15
spliddit\5_12_104295.instance,5,12,15,existence,15,15,15,15
spliddit\5_12_104295.instance,5,12,15,remove all the agents,14,3,3,15
spliddit\5_12_104295.instance,5,12,15,remove the best agent,12,2,2,15
spliddit\5_12_4409.instance,5,12,15,existence,15,15,15,15
spliddit\5_12_4409.instance,5,12,15,remove all the agents,15,10,7,15
spliddit\5_12_4409.instance,5,12,15,remove the best agent,15,4,3,15
spliddit\5_13_50375.instance,5,13,15,existence,15,15,15,15
spliddit\5_13_50375.instance,5,13,15,remove all the agents,13,9,4,15
